id,latitude,longitude,lumens
217,12.9849603,80.2132963,130.0
218,12.9849603,80.2132963,130.0
219,12.9849604,80.2132934,130.0
220,12.9849575,80.2132929,130.0
221,12.9849563,80.2132946,130.0
222,12.9849613,80.2132899,130.0
223,12.9849612,80.2132835,130.0
224,12.9849584,80.2132794,130.0
225,12.9849533,80.2132742,130.0
226,12.9849517,80.2132745,130.0
227,12.9849518,80.2132758,130.0
228,12.9849483,80.2132805,143.0
229,12.9849521,80.2132756,143.0
230,12.9849559,80.2132707,143.0
231,12.9849602,80.2132652,143.0
232,12.9849657,80.213261,143.0
233,12.984969,80.2132593,143.0
234,12.9849648,80.2132543,143.0
235,12.9849644,80.2132532,143.0
236,12.9849576,80.2132506,143.0
237,12.9849438,80.2132508,143.0
238,12.98494,80.2132496,143.0
239,12.984939,80.2132445,143.0
240,12.9849401,80.2132389,143.0
241,12.9849478,80.2132245,143.0
242,12.9849496,80.2132142,143.0
243,12.9849478,80.2132123,143.0
244,12.9849466,80.2132107,143.0
245,12.9849472,80.2132073,143.0
246,12.9849545,80.2132025,143.0
247,12.984963,80.2132065,143.0
248,12.9849669,80.2132092,143.0
249,12.9849771,80.2132146,143.0
250,12.9849802,80.2132172,143.0
251,12.9849801,80.2132174,143.0
252,12.9849865,80.2132191,143.0
253,12.9850013,80.2132289,143.0
254,12.9850033,80.2132326,143.0
255,12.9850067,80.2132301,143.0
256,12.9850135,80.2132276,143.0
257,12.9850217,80.2132281,143.0
258,12.9850214,80.2132231,143.0
259,12.9850201,80.2132201,143.0
260,12.9850095,80.2132189,143.0
261,12.9850037,80.2132234,143.0
262,12.9850054,80.2132434,143.0
263,12.9850036,80.2132555,143.0
264,12.985002,80.2132731,143.0
265,12.9849241,80.2132635,13.0
266,12.9849241,80.2132635,5.0
267,12.9849241,80.2132635,11.0
268,12.984898,80.2132526,13.0
269,12.98488,80.2132596,10.0
270,12.9848982,80.213241,9.0
271,12.9849089,80.213212,6.0
272,12.9849052,80.2131895,10.0
273,12.9849003,80.2131823,10.0
274,12.9848948,80.2131763,15.0
275,12.9848829,80.2131774,11.0
276,12.9848779,80.2131819,11.0
277,12.9848764,80.2131848,11.0
278,12.9848728,80.2131779,7.0
279,12.9849002,80.2131692,7.0
280,12.9849188,80.2131659,7.0
281,12.984928,80.2131649,7.0
